document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history,term_localName
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSets-2024-11-13,DataSets-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,DataSets,The root element of the schema. A container element for one or more datasets. It allows the handling of several different datasets with a single response operation.,,,Class,DataSet,True,False,/DataSets,,,2005-09-09,2005-09-09,,DataSets
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-2024-11-13,DataSet-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,DataSet,"A container element for one to many unit data records and their shared metadata elements. The metadata relate to the source, provision, ownership, and rights etc. of the entire dataset.",,,Class,DataSet,True,True,/DataSets/DataSet,,DataSets,2005-09-09,2005-09-09,,DataSet
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DatasetGUID-2024-11-13,DatasetGUID-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,DatasetGUID,"A globally unique identifier (GUID) for the entire data collection (database, dataset) from which the present dataset was derived (the present dataset may be the result of a query).",,,Property,DataSet,False,False,/DataSets/DataSet/DatasetGUID,,DataSet,2005-09-09,2005-09-09,,DatasetGUID
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DatasetID-2024-11-13,DatasetID-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,DatasetID,Code or Identifier of the dataset (unique within the institution),,,Property,DataSet,True,False,/DataSets/DataSet/DatasetID,,DataSet,2012-11-26,2012-11-26,added in 2.06d,DatasetID
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContacts-2024-11-13,TechnicalContacts-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,TechnicalContacts,Container element for the technical contacts responsilbe for the data set.,,,Class,DataSet,False,False,/DataSets/DataSet/TechnicalContacts,,DataSet,2005-09-09,2005-09-09,,TechnicalContacts
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-2024-11-13,TechnicalContact-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,TechnicalContact,A technical contact normally representing the agent acting as the publisher of the dataset in the network.,,,Class,DataSet,True,True,/DataSets/DataSet/TechnicalContacts/TechnicalContact,,TechnicalContacts,2005-09-09,2005-09-09,,TechnicalContact
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-@preferred-2024-11-13,TechnicalContact-@preferred-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,preferred,A flag set to indicate the preferred technial contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/@preferred,,TechnicalContact,2005-09-09,2005-09-09,,TechnicalContact-@preferred
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Name-2024-11-13,TechnicalContact-Name-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Name,"The name of a technical contact person, person team, or role (e.g. Webmaster) for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,,TechnicalContact,2005-09-09,2005-09-09,,TechnicalContact-Name
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Email-2024-11-13,TechnicalContact-Email-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Email,Email address for the technical contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Email,,TechnicalContact,2005-09-09,2005-09-09,,TechnicalContact-Email
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Phone-2024-11-13,TechnicalContact-Phone-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Phone,Phone number for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Phone,,TechnicalContact,2005-09-09,2005-09-09,,TechnicalContact-Phone
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Address-2024-11-13,TechnicalContact-Address-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Address,Postal address for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Address,,TechnicalContact,2005-09-09,2005-09-09,,TechnicalContact-Address
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContacts-2024-11-13,ContentContacts-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,ContentContacts,A container element for several administrative contacts for the dataset.,,,Class,DataSet,True,False,/DataSets/DataSet/ContentContacts,,DataSet,2005-09-09,2005-09-09,,ContentContacts
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-2024-11-13,ContentContact-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,ContentContact,An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.,,,Class,DataSet,True,True,/DataSets/DataSet/ContentContacts/ContentContact,,ContentContacts,2005-09-09,2005-09-09,,ContentContact
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-@preferred-2024-11-13,ContentContact-@preferred-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,preferred,A flag set to indicate the preferred administrative contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/@preferred,,ContentContact,2005-09-09,2005-09-09,,ContentContact-@preferred
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-Name-2024-11-13,ContentContact-Name-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Name,"Administrative contact person, person team, or role for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/ContentContacts/ContentContact/Name,,ContentContact,2005-09-09,2005-09-09,,ContentContact-Name
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-Email-2024-11-13,ContentContact-Email-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Email,Email address for the administrative contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Email,,ContentContact,2005-09-09,2005-09-09,,ContentContact-Email
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-Phone-2024-11-13,ContentContact-Phone-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Phone,Phone number for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Phone,,ContentContact,2005-09-09,2005-09-09,,ContentContact-Phone
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/ContentContact-Address-2024-11-13,ContentContact-Address-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Address,Postal address for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Address,,ContentContact,2005-09-09,2005-09-09,,ContentContact-Address
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-OtherProviders-2024-11-13,DataSet-OtherProviders-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,OtherProviders,Other known on-line providers of this dataset.,,,Class,DataSet,False,False,/DataSets/DataSet/OtherProviders,,DataSet,2005-09-09,2005-09-09,,DataSet-OtherProviders
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-OtherProvider-2024-11-13,DataSet-OtherProvider-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,OtherProvider,The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.,,,Property,DataSet,True,True,/DataSets/DataSet/OtherProviders/OtherProvider,,DataSet-OtherProviders,2005-09-09,2005-09-09,,DataSet-OtherProvider
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Metadata-2024-11-13,DataSet-Metadata-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Metadata,"Metadata referring to the principal source of the entire data collection (the metadata scope may be wider than the objects actually contained in the data set). In its current form, this collection represents a mixture of elements useful for resource discovery (e.g. scope) with metadata actually pertaining to the received (partial) dataset.",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata,,DataSet,2005-09-09,2005-09-09,,DataSet-Metadata
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-2024-11-13,DataSet-Description-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Description,"Dublin Core conformant elements describing the content of the data source queried, representation in different languages possible",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata/Description,,DataSet-Metadata,2005-09-09,2005-09-09,,DataSet-Description
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Representation-2024-11-13,DataSet-Representation-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Representation,The description in a specified language. Only one representation should be delivered for each language.,,,Class,DataSet,True,True,/DataSets/DataSet/Metadata/Description/Representation,,DataSet-Description,2005-09-09,2005-09-09,,DataSet-Representation
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Representation-@language-2024-11-13,DataSet-Representation-@language-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/@language,,DataSet-Representation,2005-09-09,2005-09-09,,DataSet-Representation-@language
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Title-2024-11-13,DataSet-Title-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Title,A short concise title for the dataset.,,"Herbarium Berolinense, Berlin (B); 2015 Wildlife Survey on the Banks Peninsula, New Zealand",Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/Title,,DataSet-Representation,2005-09-09,2005-09-09,,DataSet-Title
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-Details-2024-11-13,DataSet-Description-Details-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Details,Free-form text containing a longer description of the data source,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Details,,DataSet-Representation,2005-09-09,2005-09-09,,DataSet-Description-Details
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Coverage-2024-11-13,DataSet-Coverage-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Coverage,"Free-form text terminology or descriptions available in the data source (geographic, taxonomic, etc.).",,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Coverage,,DataSet-Representation,2005-09-09,2005-09-09,,DataSet-Coverage
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-URI-2024-11-13,DataSet-Description-URI-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,URI,"The URL that points to an online source related to the data source, which may or may not serve as an updated version of the description data.",,http://www.example.com/index.html,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/URI,,DataSet-Representation,2005-09-09,2005-09-09,,DataSet-Description-URI
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-IconURI-2024-11-13,DataSet-IconURI-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,IconURI,The URL of an icon/logo symbolizing the data source.,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/IconURI,,DataSet-Metadata,2005-09-09,2005-09-09,,DataSet-IconURI
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Scope-2024-11-13,DataSet-Scope-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Scope,Keyword list describing the scope of the data source.,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope,,DataSet-Metadata,2005-09-09,2005-09-09,,DataSet-Scope
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerms-2024-11-13,DataSet-GeoecologicalTerms-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,GeoecologicalTerms,A collection of terms describing the geoecological scope of the source queried by means of area names.,,World; Germany; Atlantic Ocean; Andes; Mountains,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms,,DataSet-Scope,2005-09-09,2005-09-09,,DataSet-GeoecologicalTerms
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerm-2024-11-13,DataSet-GeoecologicalTerm-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,GeoEcologicalTerm,An area name describing the or part of the geoecological scope of the source queried.,,World; Americas; Atlantic Ocean; Andes; Mountains,Property,DataSet,True,True,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoecologicalTerm,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoEcologicalTerm,DataSet-GeoecologicalTerms,2005-09-09,2012-11-26,,DataSet-GeoecologicalTerm
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerm-@language-2024-11-13,DataSet-GeoecologicalTerm-@language-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoecologicalTerm/@language,/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoEcologicalTerm/@language,DataSet-GeoecologicalTerm,2005-09-09,2012-11-26,,DataSet-GeoecologicalTerm-@language
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerms-2024-11-13,DataSet-TaxonomicTerms-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,TaxonomicTerms,A container for taxonomic terms describing the data source. This may include scientific and common names of groups of organisms.,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms,,DataSet-Scope,2005-09-09,2005-09-09,,DataSet-TaxonomicTerms
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerm-2024-11-13,DataSet-TaxonomicTerm-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,TaxonomicTerm,"A scientific or common taxon name of higher rank, or another term for a group of organisms that serves to describe the - or part of the - taxonomic scope of the source queried. A list of recommended terms should be developed.",,,Property,DataSet,True,True,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/TaxonomicTerm,,DataSet-TaxonomicTerms,2005-09-09,2005-09-09,,DataSet-TaxonomicTerm
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerm-@language-2024-11-13,DataSet-TaxonomicTerm-@language-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,language,The language of the taxonomic term.,"The value LA should be used for scientific names of organism groups formed in accordance with the respective Code of Nomenclature. \n\nThe value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",LA; EN; UND,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Scope/TaxonomicTerms/TaxonomicTerm/@language,,DataSet-TaxonomicTerm,2005-09-09,2005-09-09,,DataSet-TaxonomicTerm-@language
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Version-2024-11-13,DataSet-Version-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Version,The number and date of the current version of the data source (particularly for citing purposes).,,,Class,DataSet,False,False,/DataSets/DataSet/Metadata/Version,,DataSet-Metadata,2005-09-09,2005-09-09,,DataSet-Version
2025-03-12T11:00:27+01:00,http://rs.tdwg.org/abcd2/terms/version/DataSet-Major-2024-11-13,DataSet-Major-2024-11-13,http://rs.tdwg.org/abcd2/terms/version/,2024-11-13,recommended,,,,Major,The major version number of the data source as defined by the content creators.,,1,Property,DataSet,True,False,/DataSets/DataSet/Metadata/Version/Major,,DataSet-Version,2005-09-09,2005-09-09,,DataSet-Major
