version,term_localName
http://rs.tdwg.org/abcd2/terms/version/DataSets-2024-11-13,DataSets
http://rs.tdwg.org/abcd2/terms/version/DataSet-2024-11-13,DataSet
http://rs.tdwg.org/abcd2/terms/version/DatasetGUID-2024-11-13,DatasetGUID
http://rs.tdwg.org/abcd2/terms/version/DatasetID-2024-11-13,DatasetID
http://rs.tdwg.org/abcd2/terms/version/TechnicalContacts-2024-11-13,TechnicalContacts
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-2024-11-13,TechnicalContact
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-@preferred-2024-11-13,TechnicalContact-@preferred
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Name-2024-11-13,TechnicalContact-Name
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Email-2024-11-13,TechnicalContact-Email
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Phone-2024-11-13,TechnicalContact-Phone
http://rs.tdwg.org/abcd2/terms/version/TechnicalContact-Address-2024-11-13,TechnicalContact-Address
http://rs.tdwg.org/abcd2/terms/version/ContentContacts-2024-11-13,ContentContacts
http://rs.tdwg.org/abcd2/terms/version/ContentContact-2024-11-13,ContentContact
http://rs.tdwg.org/abcd2/terms/version/ContentContact-@preferred-2024-11-13,ContentContact-@preferred
http://rs.tdwg.org/abcd2/terms/version/ContentContact-Name-2024-11-13,ContentContact-Name
http://rs.tdwg.org/abcd2/terms/version/ContentContact-Email-2024-11-13,ContentContact-Email
http://rs.tdwg.org/abcd2/terms/version/ContentContact-Phone-2024-11-13,ContentContact-Phone
http://rs.tdwg.org/abcd2/terms/version/ContentContact-Address-2024-11-13,ContentContact-Address
http://rs.tdwg.org/abcd2/terms/version/DataSet-OtherProviders-2024-11-13,DataSet-OtherProviders
http://rs.tdwg.org/abcd2/terms/version/DataSet-OtherProvider-2024-11-13,DataSet-OtherProvider
http://rs.tdwg.org/abcd2/terms/version/DataSet-Metadata-2024-11-13,DataSet-Metadata
http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-2024-11-13,DataSet-Description
http://rs.tdwg.org/abcd2/terms/version/DataSet-Representation-2024-11-13,DataSet-Representation
http://rs.tdwg.org/abcd2/terms/version/DataSet-Representation-@language-2024-11-13,DataSet-Representation-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Title-2024-11-13,DataSet-Title
http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-Details-2024-11-13,DataSet-Description-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-Coverage-2024-11-13,DataSet-Coverage
http://rs.tdwg.org/abcd2/terms/version/DataSet-Description-URI-2024-11-13,DataSet-Description-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-IconURI-2024-11-13,DataSet-IconURI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Scope-2024-11-13,DataSet-Scope
http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerms-2024-11-13,DataSet-GeoecologicalTerms
http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerm-2024-11-13,DataSet-GeoecologicalTerm
http://rs.tdwg.org/abcd2/terms/version/DataSet-GeoecologicalTerm-@language-2024-11-13,DataSet-GeoecologicalTerm-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerms-2024-11-13,DataSet-TaxonomicTerms
http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerm-2024-11-13,DataSet-TaxonomicTerm
http://rs.tdwg.org/abcd2/terms/version/DataSet-TaxonomicTerm-@language-2024-11-13,DataSet-TaxonomicTerm-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Version-2024-11-13,DataSet-Version
http://rs.tdwg.org/abcd2/terms/version/DataSet-Major-2024-11-13,DataSet-Major
http://rs.tdwg.org/abcd2/terms/version/DataSet-Minor-2024-11-13,DataSet-Minor
http://rs.tdwg.org/abcd2/terms/version/DataSet-Modifier-2024-11-13,DataSet-Modifier
http://rs.tdwg.org/abcd2/terms/version/DataSet-DateIssued-2024-11-13,DataSet-DateIssued
http://rs.tdwg.org/abcd2/terms/version/DataSet-RevisionData-2024-11-13,DataSet-RevisionData
http://rs.tdwg.org/abcd2/terms/version/DataSet-Creators-2024-11-13,DataSet-Creators
http://rs.tdwg.org/abcd2/terms/version/DataSet-Contributors-2024-11-13,DataSet-Contributors
http://rs.tdwg.org/abcd2/terms/version/DataSet-RevisionData-DateCreated-2024-11-13,DataSet-RevisionData-DateCreated
http://rs.tdwg.org/abcd2/terms/version/DataSet-DateModified-2024-11-13,DataSet-DateModified
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owners-2024-11-13,DataSet-Owners
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-2024-11-13,DataSet-Owner
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-2024-11-13,DataSet-Owner-Organisation
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-OrganisationGUID-2024-11-13,DataSet-Owner-OrganisationGUID
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-Name-2024-11-13,DataSet-Owner-Organisation-Name
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-Representation-2024-11-13,DataSet-Owner-Organisation-Representation
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-Representation-@language-2024-11-13,DataSet-Owner-Organisation-Representation-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-Text-2024-11-13,DataSet-Owner-Organisation-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-Abbreviation-2024-11-13,DataSet-Owner-Organisation-Abbreviation
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-OrgUnits-2024-11-13,DataSet-Owner-Organisation-OrgUnits
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-OrgUnit-2024-11-13,DataSet-Owner-Organisation-OrgUnit
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Organisation-OrgUnit-@language-2024-11-13,DataSet-Owner-Organisation-OrgUnit-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Person-2024-11-13,DataSet-Owner-Person
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-FullName-2024-11-13,DataSet-Owner-FullName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-SortingName-2024-11-13,DataSet-Owner-SortingName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-2024-11-13,DataSet-Owner-AtomisedName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-InheritedName-2024-11-13,DataSet-Owner-InheritedName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-Prefix-2024-11-13,DataSet-Owner-AtomisedName-Prefix
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-Suffix-2024-11-13,DataSet-Owner-AtomisedName-Suffix
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-GivenNames-2024-11-13,DataSet-Owner-GivenNames
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-PreferredName-2024-11-13,DataSet-Owner-PreferredName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Roles-2024-11-13,DataSet-Owner-Roles
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Role-2024-11-13,DataSet-Owner-Role
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Role-@language-2024-11-13,DataSet-Owner-Role-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Addresses-2024-11-13,DataSet-Owner-Addresses
