document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
2025-03-12T11:05:00+01:00,DataSets,http://rs.tdwg.org/abcd2/terms/,,,,,,,DataSets,The root element of the schema. A container element for one or more datasets. It allows the handling of several different datasets with a single response operation.,,,Class,DataSet,True,False,/DataSets,,,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet,http://rs.tdwg.org/abcd2/terms/,,,,,,,DataSet,"A container element for one to many unit data records and their shared metadata elements. The metadata relate to the source, provision, ownership, and rights etc. of the entire dataset.",,,Class,DataSet,True,True,/DataSets/DataSet,,DataSets,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DatasetGUID,http://rs.tdwg.org/abcd2/terms/,,,,,,,DatasetGUID,"A globally unique identifier (GUID) for the entire data collection (database, dataset) from which the present dataset was derived (the present dataset may be the result of a query).",,,Property,DataSet,False,False,/DataSets/DataSet/DatasetGUID,,DataSet,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DatasetID,http://rs.tdwg.org/abcd2/terms/,,,,,,,DatasetID,Code or Identifier of the dataset (unique within the institution),,,Property,DataSet,True,False,/DataSets/DataSet/DatasetID,,DataSet,2012-11-26,2012-11-26,added in 2.06d
2025-03-12T11:05:00+01:00,TechnicalContacts,http://rs.tdwg.org/abcd2/terms/,,,,,,,TechnicalContacts,Container element for the technical contacts responsilbe for the data set.,,,Class,DataSet,False,False,/DataSets/DataSet/TechnicalContacts,,DataSet,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact,http://rs.tdwg.org/abcd2/terms/,,,,,,,TechnicalContact,A technical contact normally representing the agent acting as the publisher of the dataset in the network.,,,Class,DataSet,True,True,/DataSets/DataSet/TechnicalContacts/TechnicalContact,,TechnicalContacts,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact-@preferred,http://rs.tdwg.org/abcd2/terms/,,,,,,,preferred,A flag set to indicate the preferred technial contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/@preferred,,TechnicalContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact-Name,http://rs.tdwg.org/abcd2/terms/,,,,,,,Name,"The name of a technical contact person, person team, or role (e.g. Webmaster) for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,,TechnicalContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact-Email,http://rs.tdwg.org/abcd2/terms/,,,,,,,Email,Email address for the technical contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Email,,TechnicalContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact-Phone,http://rs.tdwg.org/abcd2/terms/,,,,,,,Phone,Phone number for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Phone,,TechnicalContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,TechnicalContact-Address,http://rs.tdwg.org/abcd2/terms/,,,,,,,Address,Postal address for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Address,,TechnicalContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContacts,http://rs.tdwg.org/abcd2/terms/,,,,,,,ContentContacts,A container element for several administrative contacts for the dataset.,,,Class,DataSet,True,False,/DataSets/DataSet/ContentContacts,,DataSet,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact,http://rs.tdwg.org/abcd2/terms/,,,,,,,ContentContact,An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.,,,Class,DataSet,True,True,/DataSets/DataSet/ContentContacts/ContentContact,,ContentContacts,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact-@preferred,http://rs.tdwg.org/abcd2/terms/,,,,,,,preferred,A flag set to indicate the preferred administrative contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/@preferred,,ContentContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact-Name,http://rs.tdwg.org/abcd2/terms/,,,,,,,Name,"Administrative contact person, person team, or role for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/ContentContacts/ContentContact/Name,,ContentContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact-Email,http://rs.tdwg.org/abcd2/terms/,,,,,,,Email,Email address for the administrative contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Email,,ContentContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact-Phone,http://rs.tdwg.org/abcd2/terms/,,,,,,,Phone,Phone number for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Phone,,ContentContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,ContentContact-Address,http://rs.tdwg.org/abcd2/terms/,,,,,,,Address,Postal address for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Address,,ContentContact,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-OtherProviders,http://rs.tdwg.org/abcd2/terms/,,,,,,,OtherProviders,Other known on-line providers of this dataset.,,,Class,DataSet,False,False,/DataSets/DataSet/OtherProviders,,DataSet,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-OtherProvider,http://rs.tdwg.org/abcd2/terms/,,,,,,,OtherProvider,The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.,,,Property,DataSet,True,True,/DataSets/DataSet/OtherProviders/OtherProvider,,DataSet-OtherProviders,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Metadata,http://rs.tdwg.org/abcd2/terms/,,,,,,,Metadata,"Metadata referring to the principal source of the entire data collection (the metadata scope may be wider than the objects actually contained in the data set). In its current form, this collection represents a mixture of elements useful for resource discovery (e.g. scope) with metadata actually pertaining to the received (partial) dataset.",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata,,DataSet,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Description,http://rs.tdwg.org/abcd2/terms/,,,,,,,Description,"Dublin Core conformant elements describing the content of the data source queried, representation in different languages possible",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata/Description,,DataSet-Metadata,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Representation,http://rs.tdwg.org/abcd2/terms/,,,,,,,Representation,The description in a specified language. Only one representation should be delivered for each language.,,,Class,DataSet,True,True,/DataSets/DataSet/Metadata/Description/Representation,,DataSet-Description,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Representation-@language,http://rs.tdwg.org/abcd2/terms/,,,,,,,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/@language,,DataSet-Representation,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Title,http://rs.tdwg.org/abcd2/terms/,,,,,,,Title,A short concise title for the dataset.,,"Herbarium Berolinense, Berlin (B); 2015 Wildlife Survey on the Banks Peninsula, New Zealand",Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/Title,,DataSet-Representation,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Description-Details,http://rs.tdwg.org/abcd2/terms/,,,,,,,Details,Free-form text containing a longer description of the data source,,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Details,,DataSet-Representation,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Coverage,http://rs.tdwg.org/abcd2/terms/,,,,,,,Coverage,"Free-form text terminology or descriptions available in the data source (geographic, taxonomic, etc.).",,,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/Coverage,,DataSet-Representation,2005-09-09,2005-09-09,
2025-03-12T11:05:00+01:00,DataSet-Description-URI,http://rs.tdwg.org/abcd2/terms/,,,,,,,URI,"The URL that points to an online source related to the data source, which may or may not serve as an updated version of the description data.",,http://www.example.com/index.html,Property,DataSet,False,False,/DataSets/DataSet/Metadata/Description/Representation/URI,,DataSet-Representation,2005-09-09,2005-09-09,
