identifier	prefixed_short_name	short_name	sorting_order	parent_short_name	parent-XPath	Export_documentation	Export_example	example_explanation	usage_notes	export	children	depth	ordering	To Do	check	action	BDI Data URI	Q	ABCD 3 Label	documentation	abcd3_doc	documentation_corrected	content	content_corrected	Compared Vocabularies	example_value	collection	#_used_Biocase	recommended in OpenUp!	mandatory_recommended_concepts	replaced_by	replaces	added	date_modified	date_created	deprecated	removed	comment	version_history	change_to_2.1	comment_2.06_2.1	TDWG_Wiki_concept	group	subgroup	full_name	content_contains_documentation	recommended	reviewer	editorial_notes	notes_total	element_name	schema_documentation	repeatable	leaf	tdwg_export_type	restriction	restriction_detail	minOccurs	maxOccurs	cardinality	tdwgutil_repeatable	required	type	contains_doc
/DataSets	abcd:DataSets	DataSets	1			The root element of the schema. A container element for one or more datasets. It allows the handling of several different datasets with a single response operation.				true	DataSet	1	1		Yes		https://wiki.bgbm.org/entity/Q1805	Q1805		A container element for several datasets.			The root element of the schema. A container element for one or more datasets. <br/><br/>It allows the handling of several different datasets with a single response operation.				DataSet							2005-09-09	2005-09-09							0000	Container		A container element for several datasets.	true		Berendsohn 30 Mar 2005			DataSets	TDWG root element: container for one or more DataSets.	false	false	Class			1	1	1..1	False	True		false
/DataSets/DataSet	abcd:DataSet	DataSet	2	DataSets	/DataSets	A container element for one to many unit data records and their shared metadata elements. The metadata relate to the source, provision, ownership, and rights etc. of the entire dataset.				true	DatasetGUID|DatasetID|TechnicalContacts|ContentContacts|DataSet-OtherProviders|DataSet-Metadata|Units|DataSetExtension	2	1.1		Yes		https://wiki.bgbm.org/entity/Q358	Q358	Data Set	A container element for several unit data records and their shared metadata elements.	A concept cohering several unit data records and their shared metadata elements.		A container element for one to many unit data records and their shared metadata elements. The metadata relate to the source, provision, ownership, and rights etc. of the entire dataset.				DataSet							2005-09-09	2005-09-09							0001	Container			true		Berendsohn 4 Apr 2005			DataSet	A dataset containing unit data and their shared metadata elements.	true	false	Class			1	unbounded	1..n	True	True		false
/DataSets/DataSet/DatasetGUID	abcd:DatasetGUID	DatasetGUID	3	DataSet	/DataSets/DataSet	A globally unique identifier (GUID) for the entire data collection (database, dataset) from which the present dataset was derived (the present dataset may be the result of a query).				true		3	1.1.1				https://wiki.bgbm.org/entity/Q127	Q127	GUID	A globally unique identifier for the entire dataset from which the dataset was derived.	A globally unique identifier for the entire dataset from which the dataset was derived.		A globally unique identifier for the entire data collection (database, dataset) from which the present dataset was derived (the present dataset may be the result of a query). The exact format and/or semantics are still under discussion.		GUID		DataSet	13	x					2005-09-09	2005-09-09							0002	Meta	Identifier	Dataset GUID	false		Berendsohn 5 Apr 2005			DatasetGUID	A globally unique identifier for the entire data collection the present dataset was derived from. The exact format and/or semantics are still under discussion.	false	true	Property		( minLength=1,  whiteSpace=collapse, )	0	1	0..1	False	False	String	false
/DataSets/DataSet/DatasetID	abcd:DatasetID	DatasetID	4	DataSet	/DataSets/DataSet	Code or Identifier of the dataset (unique within the institution)				true		3	1.1.2		Yes		https://wiki.bgbm.org/entity/Q1806	Q1806	DatasetID		Code or Identifier of the dataset (unique within the institution)						DataSet						added in 2.06d	2012-11-26	2012-11-26				added in 2.06d							true					DatasetID	Code or Identifier of the dataset (unique within the institution)	false	true	Property		( minLength=1,  whiteSpace=collapse, )	1	1	1..1	False	True	String	false
/DataSets/DataSet/TechnicalContacts	abcd:TechnicalContacts	TechnicalContacts	5	DataSet	/DataSets/DataSet	Container element for the technical contacts responsilbe for the data set.				true	TechnicalContact	3	1.1.3		Yes		https://wiki.bgbm.org/entity/Q1807	Q1807		A container element for several technical contacts.			A container element for several technical contacts.				DataSet							2005-09-09	2005-09-09							0003	Container			true		Berendsohn 5 Apr 2005			TechnicalContacts	Container element for the technical contacts responsilbe for the data set.	false	false	Class			0	1	0..1	False	False		false
/DataSets/DataSet/TechnicalContacts/TechnicalContact	abcd:TechnicalContact	TechnicalContact	6	TechnicalContacts	/DataSets/DataSet/TechnicalContacts	A technical contact normally representing the agent acting as the publisher of the dataset in the network.				true	TechnicalContact-@preferred|TechnicalContact-Name|TechnicalContact-Email|TechnicalContact-Phone|TechnicalContact-Address	4	1.1.3.1		Yes		https://wiki.bgbm.org/entity/Q417	Q417	Contact	A technical contact normally representing the agent acting as the publisher of the dataset in the network.	A concept to bundle contact information.		This is a metadata item normally not used for end-user display and is an element for the GBIF UDDI registry. <br/><br/>Questions and feedback about the availability of a provider or resource should be directed to the technical contact. The technical contact normally represents the agent acting as the publisher of the dataset in the network.				DataSet							2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0004	Meta	UDDI	Technical Contact	false		Berendsohn 22 Apr 2005			TechnicalContact	A technical contact normally representing the agent acting as the publisher of the dataset in the network.	true	false	Class			1	unbounded	1..n	True	True	MicroAgentP	false
/DataSets/DataSet/TechnicalContacts/TechnicalContact/@preferred	abcd:TechnicalContact-@preferred	TechnicalContact-@preferred	7	TechnicalContact	/DataSets/DataSet/TechnicalContacts/TechnicalContact	A flag set to indicate the preferred technial contact.	true	The element with its attribute set to true is the preferred contact.		true		5	1.1.3.1.1		Yes		https://wiki.bgbm.org/entity/Q2043	Q2043	preferred	A flag set to indicate the preferred technial contact.			The contact marked as preferred by means of this attribute should be the first approached, the other contacts named should be regarded as alternate contacts.			true	DataSet	1						2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0005	Meta	UDDI	Preferred	false	true, false or empty<br/><br/>For a single unbounded element there should only be one with the @preferred attribute set to true.1	Berendsohn 22 Apr 2005	"As a rule, the group of the ""recommended"" attribute should be set to the same as the corresponding element."	"As a rule, the group of the ""recommended"" attribute should be set to the same as the corresponding element."	preferred		false	true	Property			0		0..1	False	False		true
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name	abcd:TechnicalContact-Name	TechnicalContact-Name	8	TechnicalContact	/DataSets/DataSet/TechnicalContacts/TechnicalContact	The name of a technical contact person, person team, or role (e.g. Webmaster) for the dataset.				true		5	1.1.3.1.2		Yes		https://wiki.bgbm.org/entity/Q137	Q137	Full Name	Technical contact person, person team, or role name for the dataset.	String of the preferred form of personal name for displaying.		The name of a technical contact person, person team, or role (e.g. Webmaster) for the dataset.				DataSet	167	x	mandatory				2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0006	Agent		Dataset technical contact name	false		W.Berendsohn 5 Apr 2005			Name	Person, person team, or role name (e. g., 'head of department')	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	1	1	1..1	False	True	String255	false
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Email	abcd:TechnicalContact-Email	TechnicalContact-Email	9	TechnicalContact	/DataSets/DataSet/TechnicalContacts/TechnicalContact	Email address for the technical contact for the dataset.	any.person@anyREMOVE-THIS.org			true		5	1.1.3.1.3		Yes		https://wiki.bgbm.org/entity/Q160	Q160	Email Address	Email address for the technical contact for the dataset.	A valid e-mail address.		Email address for the technical contact for the dataset.				DataSet	165	x	highly_recommended				2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0007	Agent		Dataset technical contact email	true		Berendsohn 5 Apr 2005			Email	The email address of the agent	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Phone	abcd:TechnicalContact-Phone	TechnicalContact-Phone	10	TechnicalContact	/DataSets/DataSet/TechnicalContacts/TechnicalContact	Phone number for the technical contact for the dataset.				true		5	1.1.3.1.4		Yes		https://wiki.bgbm.org/entity/Q153	Q153	Telephone Number	Voice phone number for the technical contact for the dataset.	Telephone or fax number.		Voice phone number for the technical contact for the dataset.				DataSet	80						2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0008	Agent		Dataset technical contact phone	true		Berendsohn 5 Apr 2005			Phone	(voice phone)	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
